Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market Cap
2013/8/19,1.1338,1.2306,1.1177,1.19,0,1377725475
2013/8/20,1.19,1.2301,1.1751,1.2121,0,1403829641
2013/8/21,1.2121,1.2491,1.1968,1.233,0,1428698678
2013/8/22,1.233,1.235,1.206,1.2115,0,1404437433
2013/8/23,1.22,1.22,1.1844,1.185,0,1374309422
2013/8/24,1.1851,1.2139,1.1802,1.2004,0,1392768092
2013/8/25,1.196,1.2299,1.1917,1.2211,0,1417198897
2013/8/26,1.2211,1.2275,1.1993,1.2006,0,1393847159
2013/8/27,1.2007,1.2724,1.2007,1.265,0,1469193138
2013/8/28,1.2648,1.2732,1.2262,1.2262,0,1424675798
2013/8/29,1.2262,1.237,1.2221,1.2239,0,1422584866
2013/8/30,1.2235,1.3575,1.2099,1.3349,0,1552288465
2013/8/31,1.3309,1.4089,1.3272,1.3535,0,1574672051
2013/9/1,1.3514,1.4581,1.3481,1.3834,0,1610215347
2013/9/2,1.3863,1.465,1.3489,1.3585,0,1581969854
2013/9/3,1.3561,1.3834,1.33,1.3677,0,1593346565
2013/9/4,1.3653,1.445,1.2361,1.2674,0,1477012118
2013/9/5,1.2676,1.3144,1.2183,1.2643,0,1473965191
2013/9/6,1.2649,1.2734,1.1915,1.1915,0,1389646450
2013/9/7,1.1889,1.2594,1.1846,1.2415,0,1448411494
2013/9/8,1.2413,1.2472,1.2049,1.2166,0,1419836072
2013/9/9,1.2186,1.2906,1.1975,1.2711,0,1484085516
2013/9/10,1.2727,1.2974,1.259,1.2591,0,1470679164
2013/9/11,1.2589,1.3783,1.2327,1.3525,0,1580450350
2013/9/12,1.3555,1.3608,1.3181,1.3313,0,1556386219
2013/9/13,1.3283,1.3758,1.3227,1.3498,0,1578699084
2013/9/14,1.3501,1.3585,1.2887,1.2922,0,1512038756
2013/9/15,1.294,1.3144,1.2826,1.3037,0,1526085146
2013/9/16,1.3086,1.3272,1.2977,1.3172,0,1542395098
2013/9/17,1.3159,1.3276,1.2489,1.3166,0,1542278406
2013/9/18,1.3171,1.332,1.3054,1.3147,0,1540598328
2013/9/19,1.3137,1.3177,1.2845,1.2965,0,1519883709
2013/9/20,1.297,1.3562,1.2668,1.2704,0,1489921944
2013/9/21,1.2695,1.2861,1.2624,1.2743,0,1495101147
2013/9/22,1.2787,1.3394,1.2659,1.2912,0,1515584736
2013/9/23,1.2898,1.3273,1.2566,1.2595,0,1479037148
2013/9/24,1.2605,1.2746,1.2539,1.2725,0,1494974356
2013/9/25,1.2738,1.2969,1.2733,1.2822,0,1507033770
2013/9/26,1.2821,1.3493,1.2732,1.2838,0,1509434269
2013/9/27,1.2894,1.3474,1.2849,1.3378,0,1573520360
