,0
243,0.0632478
244,0.07570596
245,0.08944157
246,0.041843064
247,0.021245427
248,-0.001253386
249,-0.006903401
250,-0.0078123333
251,-0.024229558
252,-0.024563942
253,-0.023957815
254,-0.0017942662
255,0.007032987
256,1.4530027e-05
257,-0.007405488
258,-0.019042
259,-0.017068826
260,-0.011430074
261,-0.010347396
262,-0.015421184
263,-0.0008331628
264,0.013838615
265,0.015118918
266,0.0056803413
267,0.011591271
268,0.02025498
269,0.004314439
270,0.011293398
271,0.009563901
272,0.011547352
273,0.006238061
274,0.0055056596
275,0.012138481
276,0.008160082
277,0.012872926
278,0.045803197
279,0.035263173
280,0.031305004
281,0.039748874
282,0.033844676
283,0.036672875
284,-0.0026731573
285,0.006526645
286,-0.0084999
287,-0.022531856
288,-0.014400996
289,0.017189605
290,0.026949124
291,0.025748836
292,0.04717687
293,0.07514183
294,0.08091476
295,0.04766641
296,0.08064032
297,0.06341139
298,0.06427698
299,0.07327291
300,0.076009855
301,-0.007083987
302,-0.020925643
303,0.00403477
304,0.01887879
305,-0.036061812
306,-0.044441774
307,0.054419067
308,0.016668817
309,0.019293701
310,-0.0060330266
311,-0.0029795098
312,-0.011539657
313,-0.015416459
314,0.039064962
315,0.031408917
316,0.07147124
317,0.07287776
318,0.023469368
319,0.033198502
320,0.015625224
321,0.0048441305
322,-0.010276095
323,-0.012188312
324,-0.0005856499
325,-0.014324724
326,-0.018701812
327,-0.0032240604
328,0.009037384
329,0.015315532
330,0.04970602
331,0.052843645
332,0.05055245
333,0.034776848
334,0.030524349
335,0.01214797
336,-0.01482025
337,-0.005573582
338,-0.005718973
339,0.015254287
340,0.021419372
341,0.015817752
342,0.014804607
343,0.01193057
344,0.015021378
345,0.024407214
346,0.012689499
347,0.012957887
348,0.023737239
349,0.07485376
350,0.099256724
351,0.16671853
352,0.13707769
353,0.12855619
354,0.12931798
355,0.11908005
356,0.13168983
357,0.05483774
358,0.06396311
359,0.06815816
360,0.091165446
361,0.091820836
362,0.06646763
363,0.18268101
364,0.03402394
365,-0.079432055
366,-0.08470377
367,-0.10049198
368,-0.12516792
369,-0.20978834
370,-0.22514117
371,-0.107454985
372,-0.08373103
373,-0.093639456
374,-0.08790822
375,-0.088830575
376,0.1724515
377,0.10100062
378,0.0872438
379,0.10040568
380,0.12806028
381,0.11152555
382,0.011060892
383,0.0059854616
384,0.0010668169
385,0.02726878
386,-0.0005122162
387,-0.0026287315
388,-3.259815e-05
389,0.03077077
390,0.07663827
391,0.077306904
392,0.09898767
393,0.11424592
394,0.124432385
395,0.11618696
396,0.068606816
397,0.07462613
398,0.050768442
399,-0.035269957
400,-0.056454852
401,-0.015183497
402,-0.03407135
403,-0.06789121
404,-0.039771285
405,0.015822481
406,0.037688427
407,0.031463772
408,0.031579856
409,0.049600665
410,0.079949684
411,0.10976454
412,0.086908616
413,0.11570483
414,0.10681932
415,0.0858227
416,0.08317172
417,0.058186755
418,0.054815117
419,0.037977524
420,0.055300783
421,0.09493914
422,0.07597612
423,0.070465274
424,0.07981767
425,-0.0014273121
426,-0.08123404
427,-0.06673432
428,-0.10002334
429,-0.072252356
430,-0.0342794
431,0.014459077
432,0.072469935
433,0.014576314
434,0.033231217
435,-0.07842447
436,-0.18918101
437,-0.15322436
438,-0.13980712
439,-0.09938048
440,-0.11889497
441,-0.06317013
442,-0.045262396
443,-0.06347126
444,-0.08124953
445,-0.066353194
446,-0.00079636904
447,-0.0015682516
448,0.09342635
449,0.10539512
450,0.119237855
451,0.05706214
452,0.09358506
453,0.089970455
454,0.091545574
455,0.10580729
456,0.08643526
457,0.06476874
458,0.039091375
459,0.046223257
460,0.07170532
461,0.015086641
462,-0.0072294646
463,-0.008490228
464,-0.016070522
465,-0.00877531
466,-0.013713822
467,0.0094185155
468,0.03680285
469,0.054143567
470,0.041376952
471,0.03477884
472,0.008727031
473,0.032601587
474,0.04822371
475,0.043059357
476,0.07494473
477,0.05233037
478,0.07397739
479,0.05179849
480,0.070330106
481,0.127873
482,0.13134892
483,0.16200191
484,0.1663839
485,0.17008802
486,0.12816037
487,0.19018438
488,0.17663999
489,0.1667811
490,0.19252522
491,0.08374983
492,0.12978819
493,0.051352773
494,-0.01029154
495,-0.029754516
496,-0.003538153
497,0.09775611
498,0.09505424
499,0.12659733
500,0.14419682
501,0.20019217
502,0.23811209
503,0.2603721
504,0.15243399
505,0.05140647
506,0.001035234
507,-0.004609805
508,-0.028783483
509,-0.10632792
510,-0.012902007
511,0.09133675
512,0.22536375
513,0.16824292
514,0.109127976
515,0.24114622
516,0.25772956
517,0.13030462
518,0.12453018
519,0.12008588
520,0.16782145
521,0.09327291
522,-0.0737617
523,-0.013808811
524,-0.110997126
525,-0.115286894
526,-0.13995698
527,-0.09966145
528,-0.042856555
529,-0.04969649
530,0.08962297
531,0.09618563
532,0.07655908
533,0.03203562
534,0.01933738
535,-0.00017915478
536,-0.07995391
537,-0.0468295
538,-0.046196174
539,-0.07566737
540,-0.056377713
541,-0.061813757
542,0.014797005
543,0.0080607515
544,0.010665709
545,0.024613202
546,0.051304486
547,0.03645308
548,0.026206689
549,-0.01692607
550,-0.084653504
551,-0.095929824
552,-0.07851921
553,-0.06139249
554,-0.1297156
555,-0.20116848
556,-0.17428473
557,-0.038984936
558,-0.028146304
559,-0.036224075
560,0.2357774
561,0.31760618
562,0.44420785
563,0.22352438
564,0.18929903
565,0.13487642
566,-0.102744624
567,0.005754647
568,0.004143569
569,-0.003236637
570,-0.0001869872
571,0.11897518
572,0.06735079
573,0.006460009
574,-0.0058577633
575,0.06718304
576,0.17761277
577,0.111525185
578,0.24436979
579,0.24267592
580,0.17179441
581,0.15981127
582,0.121939436
583,0.21335083
584,0.20585199
585,0.26863077
586,0.25539616
587,0.29364055
588,0.1868338
589,0.06680674
590,0.02832438
591,-0.057018097
592,-0.035816144
593,-0.061735272
594,-0.04710427
595,0.04098987
596,0.04197339
597,0.061188366
598,0.09358797
599,0.06931729
600,0.103188455
601,0.05237471
602,0.07484807
603,0.116737515
604,0.040223297
605,0.04544138
606,-0.06885806
607,-0.039612353
608,-0.024356185
609,-0.06251759
610,-0.078611106
611,-0.08392467
612,-0.02268491
613,-0.046482123
614,-0.099091984
615,-0.15177998
616,-0.24075142
617,-0.12817734
618,-0.113784954
619,-0.1377683
620,-0.016705746
621,0.0058339457
622,0.23527606
623,-0.0044619627
624,0.0010730115
625,0.060848415
626,-0.0914153
627,0.0008511466
628,-0.008326197
629,0.15961614
630,0.14881988
631,0.09682145
632,0.18503396
633,0.12284851
634,0.13082828
635,0.025133887
636,0.011453179
637,0.042366486
638,0.008278642
639,0.0059240176
640,0.04692718
641,0.106108315
642,0.12704603
643,0.11233749
644,0.25005972
645,0.25691766
646,0.25849015
647,0.1847681
648,0.1867029
649,0.15095606
650,0.02642755
651,0.013177741
652,0.03446314
653,0.063776046
654,0.048624553
655,0.05737284
656,-0.015097389
657,0.005117524
658,-0.016611362
659,-0.042091392
660,-0.04409678
661,0.041402116
662,0.110586464
663,0.12597555
664,0.14519058
665,0.21061239
666,0.23890468
667,0.1996681
668,0.20552666
669,0.077143885
670,0.053860817
671,0.059148084
672,-0.010740758
673,-0.1044429
674,-0.14398551
675,-0.14276952
676,-0.07845713
677,-0.10197579
678,0.029908715
679,0.19126353
680,0.20532347
681,0.3062933
682,0.22610262
683,0.23843226
684,0.09834858
685,0.044239406
686,0.040527567
687,0.052687276
688,0.09196092
689,0.13196586
690,0.21187605
691,0.21229212
692,0.22819732
693,0.24040364
694,0.25551933
695,0.18783209
696,0.15188572
697,0.15620507
698,0.21012253
699,0.4047376
700,0.59067225
701,0.44387355
702,0.30615824
703,0.32142916
704,0.41663903
705,0.20987478
706,-0.086614385
707,-0.009909649
708,0.16204609
709,0.2570102
710,0.12673254
711,0.090886876
712,0.07236475
713,-0.0035127767
714,-0.107047506
715,-0.25850195
716,-0.21917294
717,-0.2530221
718,-0.20443243
719,-0.029794695
720,0.0015585496
721,0.050275102
722,-0.006733491
723,-0.07059921
724,0.0113926865
725,-0.14380547
726,-0.048615113
727,0.035689574
728,0.055051345
729,0.33438826
730,0.2281499
731,0.18597631
732,0.002505403
733,-0.046806626
734,-0.036367603
735,-0.21483806
736,-0.19637856
737,-0.12548156
738,-0.09184824
739,-0.05375403
740,-0.22133203
741,-0.1570001
742,-0.16831316
743,-0.18280008
744,-0.06241105
745,-0.16102757
746,-0.055341896
747,-0.028095366
748,-0.0052204686
749,-0.026095944
750,-0.13243675
751,-0.01733604
752,0.07646672
753,0.037493683
754,-0.11216773
755,-0.09298916
